image,line_stat,bill_cycl,serv_type,serv_code,tenure,contract_month,ce_expiry,secured_revenue,bandwidth,term_reas_code,term_reas_desc,complaint_cnt,with_phone_service,Churn,effc_strt_date_year,effc_strt_date_month,effc_strt_date_day,effc_end_date_year,effc_end_date_month,effc_end_date_day
201801,AC,1,BBS,VS100DUN,202,36,13,178,100M,,,0,N,N,2018,6,3,2021,5,3
201801,AC,1,BBS,VS030F6R,35,24,13,1572,30M,,,0,N,N,2019,1,3,2021,2,28
201801,AC,1,BBS,EAXMXMFSRN1,202,24,20,290,10M,,,0,Y,N,2019,1,10,2021,9,30
201801,AC,1,BBS,VS100DUN,72,24,9,218,100M,,,0,Y,N,2018,7,11,2020,6,11
201801,AC,1,BBS,PF100FSR,202,24,-9,430,100M (FTTO),,,0,N,Y,2017,1,5,2019,4,30
201801,AC,1,BBS,VAXMXMFSRN1,80,24,-9,245,10M,,,0,N,Y,2017,1,5,2019,4,30
201801,AC,1,BBS,EAXMXMFM2X,201,24,15,801,10M,,,0,N,N,2019,1,5,2021,4,30
201801,AC,1,BBS,VAXMXMFSRN1,201,24,8,780,10M,,,0,N,N,2018,9,29,2020,9,28
201801,AC,1,BBS,ES100DUN,201,24,1,248,100M,,,0,N,N,2018,1,3,2020,2,29
201801,AC,1,BBS,VS100DUR,201,24,-14,374,100M,,,0,N,Y,2016,12,17,2018,12,16
201801,AC,1,BBS,VS100DUN,13,24,-14,374,100M,,,0,N,Y,2016,12,20,2018,12,19
201801,AC,1,BBS,VS030FSN,200,30,6,308,30M,,,0,N,N,2018,1,31,2020,7,30
201801,AC,1,BBS,ES100FSN,199,24,19,253,100M,,,0,Y,N,2019,9,24,2021,9,23
201801,AC,1,BBS,VS100FSR,199,24,23,1499.68,100M,,,0,N,N,2020,1,22,2022,1,21
201801,AC,1,BBS,VS100FSN,61,24,11,576,100M,,,0,N,N,2019,1,15,2021,1,14
201801,AC,1,BBS,VS100FSR,44,24,4,576,100M,,,0,N,N,2018,4,6,2020,3,6
201801,AC,1,BBS,EA6M6MFM2X,165,24,16,681,BELOW 10M,,,1,N,N,2019,1,6,2021,5,31
201801,AC,1,BBS,VS030DUR,80,24,16,681,30M,,,0,N,N,2019,6,6,2021,5,6
201801,AC,1,BBS,VS030FSN,194,36,7,268,30M,,,0,N,N,2017,1,9,2020,8,31
201801,AC,1,BBS,PF100FSN,53,24,-6,3950,100M (FTTO),,,0,N,Y,2017,8,21,2019,8,20
201801,AC,1,BBS,VAXMXMFSXX,198,36,-22,1356,10M,,,0,N,Y,2015,3,28,2018,3,27
201801,AC,1,BBS,VS030F6N,199,27,-23,1550,30M,,,1,N,Y,2015,12,24,2018,3,23
201801,AC,1,BBS,VS100FSN,198,24,21,390,100M,,,0,N,N,2019,1,11,2021,10,31
201801,AC,1,BBS,VS100DUN,3,24,21,390,100M,,,0,N,N,2019,11,13,2021,12,11
201801,AC,1,BBS,ES100FSR,198,24,14,532,100M,,,0,N,N,2019,3,31,2021,3,30
201801,AC,1,BBS,ES100DUN,9,24,20,532,100M,,,0,N,N,2019,10,26,2021,10,25
201801,AC,1,BBS,ES100FSN,198,28,5,528,100M,,,0,Y,N,2018,3,19,2020,7,18
201801,AC,1,BBS,ES100DUR,90,28,5,528,100M,,,0,Y,N,2018,3,19,2020,7,18
201801,AC,1,BBS,ES100FSN,197,24,14,4719,100M,,,0,N,N,2019,4,26,2021,4,25
201801,AC,1,BBS,VS100DUN,107,24,19,218,100M,,,0,N,N,2019,9,21,2021,9,20
201801,AC,1,BBS,VPXMXMDURN,92,24,3,170,10M,,,0,N,N,2018,5,18,2020,5,17
201801,AC,1,BBS,VS100DUR,195,24,22,100,100M,,,0,N,N,2019,12,20,2021,12,19
201801,AC,1,BBS,VS100FSN,195,24,0,568,100M,,,2,Y,N,2018,12,2,2020,11,2
201801,AC,1,BBS,VS100DUN,23,24,0,568,100M,,,0,Y,N,2018,2,26,2020,2,25
201801,AC,1,BBS,VS100FSR,192,12,8,368,100M,,,0,Y,N,2019,2,10,2020,1,10
201801,AC,1,BBS,VAXMXMFSRN1,192,24,-17,288,10M,,,0,Y,Y,2016,1,9,2018,8,31
201801,AC,1,BBS,VS030FSN,61,24,-13,739,30M,,,0,Y,Y,2016,12,30,2018,12,29
201801,AC,1,BBS,VS030FSN,56,24,-11,739,30M,,,1,Y,Y,2017,3,25,2019,3,24
201801,AC,1,BBS,VPXMXMDURN,36,24,-13,739,10M,,,0,Y,Y,2016,12,30,2018,12,29
201801,AC,1,BBS,VS100DUR,192,24,21,180,100M,,,0,Y,N,2019,10,28,2021,10,27
201801,AC,1,BBS,VS100FSR,47,24,1,319,100M,,,0,N,N,2018,2,27,2020,2,26
201801,AC,1,BBS,VPXMXMDURN,192,24,-24,155,10M,,,0,N,Y,2016,2,20,2018,2,19
201801,AC,1,BBS,VS050FSN,192,24,8,538,50M,,,0,Y,N,2018,10,13,2020,12,10
201801,AC,1,BBS,VS030DUN,16,24,8,538,30M,,,0,Y,N,2018,12,10,2020,11,10
201801,AC,1,BBS,VP6M2MDU1X,192,24,-142,528,BELOW 10M,,,0,N,Y,2006,4,20,2008,4,18
201801,AC,1,BBS,VS100F6N,190,24,-7,1800,100M,,,0,N,Y,2017,7,20,2019,7,19
201801,AC,1,BBS,VS030FSR,191,24,17,432,30M,,,0,N,N,2019,6,28,2021,6,27
201801,AC,1,BBS,VS100DUN,6,24,-7,432,100M,,,0,N,Y,2017,7,17,2019,7,16
201801,AC,1,BBS,VS030DUR,191,24,-22,290,30M,,,0,N,Y,2016,1,4,2018,3,31
201801,AC,1,BBS,VAXMXMFSXX,100,37,17,250,10M,,,0,N,N,2018,6,20,2021,7,19
201801,AC,1,BBS,ES100FSN,191,42,10,425,100M,,,0,N,N,2017,6,26,2020,12,25
201801,AC,1,BBS,ES100DUR,190,24,19,260,100M,,,0,Y,N,2019,1,9,2021,8,31
201801,AC,1,BBS,VAXMXMFSXX,190,24,9,348,10M,,,0,N,N,2018,10,11,2020,9,11
201801,AC,1,BBS,ES100FSR,190,24,0,354,100M,,,0,Y,N,2018,2,26,2020,2,25
201801,AC,1,BBS,VS100FSN,189,24,23,374,100M,,,0,N,N,2019,12,28,2021,12,27
201801,AC,1,BBS,VS100DUN,3,24,9,199,100M,,,0,N,N,2018,6,11,2020,5,11
201801,AC,1,BBS,PF100FSR,190,24,3,348,100M (FTTO),,,0,Y,N,2018,4,30,2020,4,29
201801,AC,1,BBS,EPXMXMDUXX,189,25,18,168,10M,,,0,Y,N,2019,7,24,2021,8,23
201801,AC,1,BBS,EA2M2MFM3X,189,24,-9,531,BELOW 10M,,,0,N,Y,2017,5,23,2019,5,22
201801,AC,1,BBS,VS100DUN,8,24,-9,531,100M,,,0,N,Y,2017,5,23,2019,5,22
201801,AC,1,BBS,VS100DUN,8,24,-9,531,100M,,,0,N,Y,2017,5,23,2019,5,22
201801,AC,1,BBS,VS100FSR,189,24,-8,1500,100M,,,0,N,N,2017,1,6,2019,5,31
201801,AC,1,BBS,VS030DUR,32,24,-8,1500,30M,,,0,N,N,2017,1,6,2019,5,31
201801,AC,1,BBS,VS030DUR,32,24,-8,1500,30M,,,0,N,N,2017,1,6,2019,5,31
201801,AC,1,BBS,VS030FSR,100,24,12,268,30M,,,0,Y,N,2019,11,2,2021,10,2
201801,AC,1,BBS,ES100FSN,189,24,-46,589,100M,,,0,N,Y,2014,1,4,2016,3,31
201801,AC,1,BBS,ES030DUN,92,24,-46,589,30M,,,0,N,Y,2014,1,4,2016,3,31
201801,AC,1,BBS,ES030FSN,189,24,13,1445.9,30M,,,0,Y,N,2019,12,3,2021,11,3
